transaction_id,amount,failure_reason,attempt_number,risk_score,risk_level,root_cause,cause_category,root_cause_confidence,recovery_probability,recovery_direction,decision,decision_confidence,decision_reason
TXN_000005,536.52,insufficient_funds,2,0.5051,MEDIUM,Insufficient customer funds,CUSTOMER_FUNDS,0.94,0.1607,alternate_payment,stop,0.88,Low recovery probability combined with a payment-instrument issue.
TXN_000006,2442.96,bank_timeout,1,0.446,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6947,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000007,4135.64,network_error,1,0.5227,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.6345,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000009,1325.86,network_error,1,0.5777,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7641,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000011,4738.99,authentication_failure,1,0.621,HIGH,Payment authentication failed,AUTHENTICATION,0.88,0.5388,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000012,1975.13,bank_declined,1,0.5933,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.5558,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000014,905.6,bank_declined,1,0.5377,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.5219,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000016,7248.33,network_error,1,0.5892,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.7437,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000017,217.98,bank_timeout,2,0.5577,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.5917,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000018,10305.25,authentication_failure,1,0.6595,HIGH,Payment authentication failed,AUTHENTICATION,0.88,0.5576,customer_action,send_reminder,0.86,Customer action is required before another payment attempt.
TXN_000021,4655.0,bank_timeout,1,0.45,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.6702,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000028,2391.18,bank_declined,1,0.4965,MEDIUM,Bank declined the payment,BANK_DECLINE,0.91,0.4126,alternate_payment,alternate_payment,0.92,Root cause indicates that retrying the current payment instrument is unlikely to address the underlying issue.
TXN_000033,1264.03,network_error,1,0.5771,MEDIUM,Payment network connectivity failure,BANK_OR_NETWORK,0.9,0.844,retry,retry_now,0.9,High recovery probability and a temporary failure indicate an immediate retry is appropriate.
TXN_000034,2441.01,bank_timeout,1,0.5541,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.722,retry,retry_later,0.82,"Recovery remains plausible, but delaying the retry reduces unnecessary immediate retries."
TXN_000037,4722.43,bank_timeout,2,0.4794,MEDIUM,Bank or issuer timeout,BANK_OR_NETWORK,0.92,0.4661,retry,send_reminder,0.76,Recovery probability is moderate-low; customer engagement is preferred over another immediate retry.
